CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"0443226",2,"1","M",28,"4","1","G","-","0"
"0461142",1,"1","M",36,"2","1","W","-","1"
"0461218",2,"1","F",33,"4","1","G","-","0"
"0461234",1,"2","M",5,"4","4","G","-","0"
"0461234",1,"2","M",1,"0","6","Q","-","0"
"0461265",1,"2","F",13,"0","3","G","-","0"
"0461265",1,"2","F",13,"0","6","G","-","0"
"0506426",1,"2","F",11,"0","6","G","-","0"
"0512591",1,"2","M",17,"0","3","G","-","0"
"0520573",1,"2","M",28,"4","3","G","-","0"
"0523915",2,"2","M",0,"0","6","Q","-","0"
"0523915",2,"2","F",28,"0","3","G","-","0"
"0528164",1,"2","M",20,"0","3","G","-","0"
"0545710",1,"2","F",49,"3","3","G","-","0"
"0558824",2,"2","F",32,"0","3","G","-","0"
"0564912",1,"2","M",19,"0","3","G","-","0"
"0564912",1,"2","M",20,"0","4","G","-","0"
"0564912",1,"2","M",17,"0","6","G","-","0"
"0564912",1,"2","M",18,"0","5","C","-","0"
"0570363",1,"2","M",12,"0","4","G","-","0"
"0570363",1,"2","M",12,"0","6","G","-","0"
"0571706",1,"2","F",22,"0","3","G","-","0"
"0574553",1,"2","F",78,"0","3","G","-","0"
"0580233",1,"2","M",29,"4","3","G","-","0"
"0580233",1,"1","M",43,"3","1","G","-","0"
"0580824",3,"1","M",18,"4","1","G","-","0"
"0581033",2,"2","M",10,"0","4","G","-","0"
"0581095",1,"2","F",20,"0","3","G","-","0"
"0581665",1,"1","F",32,"4","1","G","-","0"
"0608134",2,"2","M",11,"3","3","G","-","0"
"0608134",2,"2","M",18,"0","8","G","-","0"
"0608134",2,"2","F",14,"0","8","G","-","0"
"0608134",2,"2","F",16,"0","8","G","-","0"
"0608134",4,"2","F",40,"0","3","G","-","0"
"0608134",5,"2","F",58,"0","3","G","-","0"
"0608135",2,"2","F",58,"0","3","G","-","0"
"0608147",1,"2","F",45,"3","3","G","-","0"
"0617212",1,"1","F",40,"3","1","G","-","0"
"0617219",3,"2","M",21,"0","3","G","-","0"
"0617457",2,"2","F",76,"0","3","G","-","0"
"0622621",1,"1","M",19,"3","1","G","-","0"
"0622621",1,"2","M",19,"2","3","H","-","0"
"0623541",1,"1","F",31,"4","1","G","-","0"
"0623541",1,"2","F",4,"0","6","Q","-","0"
"0623541",2,"2","M",26,"0","3","G","-","0"
"0625419",2,"2","M",0,"0","6","Q","-","0"
"0625419",2,"2","F",5,"0","4","Q","-","0"
"0634164",1,"1","M",20,"3","1","G","-","0"
"0634282",1,"2","M",28,"0","3","G","-","0"
"0634282",1,"2","F",3,"0","6","Q","-","0"
"0634282",1,"2","M",22,"0","6","G","-","0"
"0644656",1,"2","F",59,"4","4","G","-","0"
"0644656",1,"2","F",39,"4","3","G","-","0"
"0651247",1,"2","M",998,"0","3","B","-","0"
"0651247",1,"2","M",18,"0","6","E","-","0"
"0664214",1,"2","M",52,"0","3","G","-","0"
"0664214",1,"2","F",46,"0","6","G","-","0"
"0664214",1,"2","M",998,"0","4","G","-","0"
"0672214",1,"2","F",30,"0","3","G","-","0"
"0698417",1,"2","F",28,"4","3","G","-","0"
"0700429",1,"1","M",24,"4","1","G","-","0"
"0700429",1,"2","F",23,"4","3","G","-","0"
"0710017",2,"2","F",51,"0","3","G","-","0"
"0710017",2,"2","M",3,"0","6","Q","-","0"
"0710017",2,"2","F",4,"0","3","Q","-","0"
"0715065",2,"1","F",48,"3","1","G","-","0"
"0721875",1,"1","F",38,"3","1","L","-","0"
"0721875",1,"2","F",12,"3","3","L","-","0"
"0721918",2,"2","M",11,"0","6","G","-","0"
"0752191",1,"2","M",19,"0","3","G","-","0"
"0752191",1,"2","M",21,"0","6","G","-","0"
"0752219",1,"2","F",0,"0","5","Q","-","0"
"0752219",1,"2","F",6,"0","6","G","-","0"
"0752219",2,"2","M",74,"0","3","G","-","0"
"0761501",1,"2","-",998,"0","3","G","-","0"
"0765078",1,"1","F",33,"4","1","G","-","0"
"0765078",2,"1","F",22,"4","1","G","-","0"
"0765078",3,"1","F",46,"4","1","G","-","0"
"0765079",2,"1","M",54,"4","1","G","-","0"
"0771777",2,"1","M",69,"4","1","G","-","0"
"0782450",1,"1","F",17,"3","1","G","-","0"
"0782450",1,"2","M",23,"3","3","G","-","0"
"0785138",1,"1","F",28,"3","1","G","-","0"
"0785166",1,"1","M",27,"4","1","G","-","0"
"0786403",2,"1","F",49,"4","1","G","-","0"
"0786443",1,"1","M",28,"4","1","G","-","0"
"0786443",2,"1","M",31,"3","1","L","-","0"
"0799501",2,"1","F",29,"4","1","G","-","0"
"0801950",1,"2","F",4,"0","3","Q","-","0"
"0801950",1,"2","F",3,"0","4","Q","-","0"
"0801966",1,"1","M",22,"2","1","G","-","0"
"0801966",1,"2","M",19,"3","3","G","-","0"
"0801978",1,"2","M",7,"0","4","G","-","0"
"0801978",1,"2","M",8,"0","6","G","-","0"
"0801978",1,"1","F",50,"4","1","G","-","0"
"0801978",2,"1","M",26,"3","1","G","-","0"
"0828056",2,"1","F",42,"4","1","L","-","0"
"0828064",1,"1","M",47,"3","1","W","-","0"
"0831449",2,"2","F",37,"0","3","G","-","0"
"0831449",2,"2","M",4,"0","6","G","-","0"
"0831449",2,"2","M",12,"0","4","G","-","0"
"0831449",2,"2","M",6,"0","9","-","-","3"
"0831465",3,"2","F",40,"0","3","G","-","0"
"0831612",1,"2","M",4,"0","4","Q","-","0"
"0831612",1,"2","F",1,"0","6","Q","-","0"
"0847700",1,"1","F",35,"1","1","G","-","0"
"0853193",1,"1","M",21,"3","1","G","-","0"
"0853193",1,"2","M",37,"0","3","G","-","0"
"0853193",2,"2","M",18,"3","3","G","-","0"
"0853193",2,"1","F",18,"3","1","G","-","0"
"0857684",2,"1","M",46,"4","1","G","-","0"
"0882596",1,"2","-",18,"4","3","G","-","0"
"0882620",1,"2","M",80,"0","3","G","-","0"
"0890005",2,"2","M",20,"0","3","G","-","0"
"0906822",2,"1","F",35,"4","1","G","-","0"
"0906877",2,"1","F",18,"3","1","G","-","0"
"0911105",1,"2","M",27,"0","3","G","-","0"
"0911105",2,"2","F",48,"0","3","G","-","0"
"0911105",2,"2","M",17,"0","6","G","-","0"
"0911105",2,"2","M",12,"0","4","G","-","0"
"0916251",1,"1","M",56,"4","1","G","-","0"
"0924092",1,"2","M",27,"3","3","G","-","0"
"0924092",1,"1","F",20,"3","1","L","-","0"
"0924101",1,"2","F",16,"0","3","G","-","0"
"0924101",2,"1","F",17,"4","1","G","-","0"
"0924101",2,"2","F",18,"0","3","G","-","0"
"0930610",1,"2","M",6,"0","4","Q","-","0"
"0930610",1,"2","M",3,"0","6","Q","-","0"
"0930610",2,"1","F",84,"4","1","G","-","0"
"0930610",2,"2","M",89,"4","3","G","-","0"
